count, author, comment, isLiked?
46,ArchLinus,Just flash a rom ez,False
47,Ananya Gupta,Start with 'no'... Then work your way down into the depths of XDA.,False
48,TudBoatTed,Just get pixel experience rom,False
49,Toufic Batache,Just  buy a Pixel  the 4a is only 350$ and trust me it's a decision you won't regret taking...,False
50,Keith Hernandez,@Toufic Batache no wireless charging is the deal breaker for me,False
51,YouTube police,@Keith Hernandez noob,False
52,Keith Hernandez,@YouTube police ok?,False
53,aRUnKA,@OS WAR'SThe pixel hasn't even launched in India yet  what are you talking about?Obviously  the statement still holds true for anyone able to get the pixel at its original pricing. Imo  it would still be worth it at 400+ dollars.,False
54,aRUnKA,@OS WAR'SI think their point  is that you should buy phones from a reliable brand  if updates/security are actually important to you.I hope you're not insinuating that android doesn't have other good options. Samsung  Nokia  OnePlus  are good candidates.Edit: News tells me that some Xiaomi  OnePlus  Samsung  realme  Oppo  phones are all getting android 11 today.Google has changed many gears  so that android updates are easier than ever.,False
55,Mad At Gas Car,@YouTube police lol,False
56,Orlando Natapradja,YES,False
57,Gordon Freeman,Fuuuuu...,False
58,ADee SHuPA,@Orlando Natapradja uP,False
59,Matthew Reiter,@Gordon Freeman "gasps" gordon.......you can talk!!!,False
60,Kaweesha Nethmika,Exactly,False
61,arisoda,Better use Signal.,False
62,Anrijs Christopher,What's wrong with WhatsApp?,False
63,arisoda,@Anrijs Christopher The encryption is not open-source  and does it need to be said...? It's Facebook...Closed-source and Facebook are not always bad  but when there is a PERFECT alternative  why the FCK are we kidding ourselves? We need to change platform...,False
64,ーミスター,I wish RCS was better implemented. I don't like having to use Facebook Messenger for a specific group  WhatsApp for another just because they use it.Please be more like iMessage.,False
65,Nuhash Tarafdar,LMAO all Android features are copied from Apple,False
66,Sir Delta,@Nuhash Tarafdar low effort bait.,False
67,That guy named Tyler,@Nuhash Tarafdar Yeah uh huh "all" are we not gonna talk about iPhones newest update?,False
68,Nuhash Tarafdar,@Sir Delta Atleast someone took it,False
69,YouTube police,@Nuhash Tarafdar lol nice joke,False
70,Little Aurelion,@Nuhash Tarafdar android didn't steal it from apple community  apple community stole samsung and google innovation like wireless charging and widgets,False
71,aRUnKA,@Nuhash Tarafdar"Atleast someone took it"Funny how fast your stance changed.And besides  apple has copied features from android from the beginning  without which you wouldn't even be able to change your wallpaper  get notifications  control center  OTA updates (despite apple doing better at updates these days)  typing suggestions  app communication  etc. The list goes on  this doesn't even include features from custom skins.Apple doesn't "do it better". That phrase comes from people who don't use android to begin with.,False
72,Electron,@Nuhash Tarafdar have you seen iOS 14  where did the widgets  the app drawer and picture in picture come from,False
73,IkoNik,Apple is “but better”,False
74,Little Aurelion,@Electron android,False
75,cyka blyat,Good,False
76,Jason S,Plot twist  he already has an android phone,False
77,TacoFingerss,Jason S hmmm I see.....,False
78,ZLAurora,Yes,False
79,Dhruv Varia,Welcome,False
80,Tim Ko,Welcome,False
81,TacoFingerss,Ok my dad gave me his s9 since he got a new phone so hello android community. Once and apple person. Now an android person.,False
82,John,Same lolyz I just sold me iPhone 6s Plus and getting meh a51 coming hopefully on Wednesday or Tuesday and this is my second one cause the first one I ordered shattered in the mail and got sent back but at least now I get 6 gigs of ram,False
83,Blizzard,Good decision,False
84,Kamran Younis,They both have their own pros and cons. Different OS' for different people. If you want security and simplicity then use an IOS device  if you want Variety and freedom get android. Comparing each one is like comparing a rolls to a lambo  different products for different people.,False
85,YouTube police,@Kamran Younis android is more simple and secure tbh,False
86,JEFF FRANK,@Kamran Younis Agree,False
87,aRUnKA,@YouTube policeSimplicity and ease of use are subjective.But I would agree somewhat with the security aspect. Security isn't an easily measurable quantity  but android has many advantages:•while apple has a stricter store policy  it is more susceptible to attack.•Worse cloud security on iCloud. Not end-to-end encrypted.•Android's open-source model of security  is easier to patch than apple's closed code.•Although SMS is less secure  everyone uses WhatsApp  which is actually more secure than iMessage. There are plenty of third party options  on both.•Up to date Android phones are harder to crack than ios devices  if an attacker has physical access to it  etc.Android is more secure in many ways. In the end  again  which OS you pick is down to your personal preference.,False
88,YouTube police,@aRUnKA ok but to be honest android is more simple and aesthetic,False
89,Itsfadi,@YouTube police I know like ios is jail wdym I can't install moded apps,False
90,cowegg,Kamran Younis Stop repeating that same old nonsense “iOs Is SiMpLe AnD sEcUre” lol no. My parents use Samsung and I have thought of buying them an iPhone but they are too used to having the back button on the navigation bar. A lot of the apps they use like Truecaller work much better on Android. And knowing that they won’t be trapping into Apple’s walled garden also gives me peace of mind.,False
91,cowegg,aRUnKALack of end-to-end encryption for iCloud backups and iMessages being sent as SMS in some cases makes iPhones significantly less secure out of the box for most users.,False
92,aRUnKA,@coweggI wrote the same thing —but the comment is bit confusing. I'll edit for clarity.,False
93,GCdokkanbattle,Hell no,False
94,Kamran Younis,It's a budget phone tho... zzz😴😴😴,False
95,Amir F,Pixel 5s,False
96,Inferno,Heck yeah,False
97,Open This Link,https://youtu.be/BQJJosrTbSM,False
98,Jerry Caisip,Lol,False
99,Arya Do Anything,Lol,False
100,Random minecraft Player,Cries in android 10,False
101,Towelie,When will android 11 be out im waiting for it on my samsung a10s Will it be on samsung a10s ??,False
102,TurtleLim,I use oppo f7 I like Android and also I put Android 11,False
103,Savage _,Android 11 update for Tcl 10 pro ?,False
104,Chris De Vera,He's cute,False
105,辛味噌は分業勢!,全機種対応にしてください,False
106,Magic302,:O,False
107,CHITO,Why u guys don't put the brightness slider on the bottom instead of the top like the Samsung One UI.🤷🏽‍♂️🤔,False
108,Creative Destruction OMG,Me with still an Android 9,False
109,Z A H I D U L J I T U,Why didn't come Android 11 Device Pixel 2 XL,False
110,Mehrab4K,⁦❤️🤩🤩,False
111,Melanie Farmer,Really nice 👌 😍💋 💝💖❤️,False
112,Mohammed Al-Sharif,What’s the name of the music?,False
113,Shreyansh Maloo,Does it support navigation Gestures on 3rd party launchers??,False
114,CatDude Everything,Nice i'm geting it,False
115,Monster Manoj,What about gaming ?,False
116,Bruno,hopefully it solves the battery problem  excessive drainage,False
117,Omar Shamel,The only problem is that the android software support continues for 2 years only :(,False
118,RitsRoasts,Make your own tab os  because ipad os is doing great.,False
119,Vladimir Samoylenko,nothing useful to me. Hope that new aka "junk" features won't slow down my pixel as Google did with nexus :(,False
120,Ahmad Haruman,Are you talking about like adding another hour or two before your normal sleep schedule starts?,False
121,Vamshi Krishna Uplanchi,@Ahmad Haruman not my sleep schedule. I'm talking about Device sleep time!,False
122,creepy creeper,@Vamshi Krishna Uplanchi like caffeine mode?,False
123,The Aviationist Khizr,Technically you could ask assistant to do it with the squeeze. Also I think holding power button does it,False
124,Jiří Král,usin Posidon launcher?,False
125,posidon,@Jiří Král yes  I'm the dev,False
126,Rohit Chauhan,I'm all in for using Quick Switch on my phone but I can't find a launcher that provides Old Android 8 Recents,False
127,-,@Keith Hernandez bruh why are you guys obsessed with wireless charging  with fast charging it doesn't even feel like you charge your phone  some phones take like 30 minutes to charge. I put my phone on charger when I'm getting ready at morning and it charges to the top before I leave the home.,False
128,Keith Hernandez,@- sure but it works best for the way I work. Simple. Why do you care about the way I charge my phone so much?,False
129,-,@Keith Hernandez because you said its a deal breaker  and its yeah wireless but it has to touch something to charge there's no need for wireless charging phones just companies trying to sell you more stuff,False
130,Keith Hernandez,@- yeah it's a deal breaker for me. Don't tell me what I need or what I don't. I like my setup a certain way  wireless charging fits that. That's it. End of story.,False
131,-,@Keith Hernandez L,False
132,Keith Hernandez,@- good one,False
133,-,@Keith Hernandez L  end of story.,False
134,Chae Yongsun,Mine no sadly,False
135,GCdokkanbattle,Nuhash Tarafdar ong bro😂,False
136,Paulius Yla,Already enjoying it 😎,False
137,AKG,https://youtu.be/7C-N2kgV9ak,False
138,CubeClarity Gaming,YESSSS,False
139,Samar Jyoti Deka,U should be take a look in big screen tab to tv because if u don't do that u know....,False
140,TheMagnificentZoltar,My Sony phone can't get updates beyond Android 9.,False
141,Gig Pros,👍,False
142,Lukas4004,Android 11!!!,False
143,DeyyuZ96,Is it here?,False
144,Justin Naff,So are bubbles not compatible with Messages? I have everything enabled but can't get it to do anything.,False
145,Danial Rafiqi,Why chats bypass do not disturb? I dont want my boss text me at 12am wtf,False
146,Christian Vlogs,OKAY INDEED ANDROID SYSTEM FEATURES GETS BETTER AND HOPING THAT ICONS TOO ! ICONS ARE VERY IMPORTANT TO MAKE THE PHONE LOOKS MORE GREAT. 💚💚💚💚,False
147,minus pervious,Miui12 enters the chat,False
148,Frosty,Now if they would fix the Google Home app so it stops crashing every other action.,False
149,Jaiveer,🙏🙏🙏🙏🙏🙏🙏🙏,False
150,Top Hat,just you wait >:( Apple is better! also I came here to see if android had a channel  also known as GOOGLE.. WHY GOOGLE :(,False
151,AmazingExia XT,Make it stable without bug.. don't make it be joker like android 10.. i don't have time for joking around 😉,False
152,Benito Juarez,lol here early,False
153,Ravi Kumar,Hope heating issue solve😔😔,False
154,Kinobi,Cool features!,False
155,Kenneth,Still stock android doesn't have Long Screenshot only custom OEM Android like SAMSUNG  OPPO  VIVO  XIAOMI etc.,False
156,Ravi Kumar,Ryt..heating issue..while make video..n photography,False
157,Csongor Mirnics,It not even released,False
158,Tobias Samsonsen,Its here on pixel 2  3 and 4,False
159,obama,I think samsung will stop supporting their a 2019 series?,False
160,Towelie,@obama but its a android 9.0 and 10 is my single update and i need 2 so yeah i think it will come,False
161,YouTube police,@Towelie 3 years update  you will get android 11,False
162,Towelie,@YouTube police I just wanna know the date (that keeps annoying me),False
163,putu kevin,@Towelie maybe in May Next year?,False
164,harys,round edge rectangle is the future,False
165,Supers Stars Royal Guardians,Hello Androidd,False
166,Алиса Барсук Панкратова,0:06 he looks like japanese,False
167,Ben White,Where did you move screenshots to?! It's not as simple to see/find now lol I'm sure it will be once it's clear but when you just upgrade and have no idea where that moved to it's a pain when you need to use them frequently.,False
168,THIS IS INTERESTING,Nice good,False
169,Moesha Hays,Nice 36:14 🍌🍌🍌🍌,False
170,Csongor Mirnics,Google pay serbia??? 😢😢😢😢😢😢,False
171,나라온,NOTHING NEW feature on Android 11 We already have seen hundred times to see message bubbles and it's annoying! and why you make power control page more complex? And why don't open it with SmartThings? I just don't like google home. your IoT platform is weak and inconvinent. just DROP IT,False
172,Paul Whitelock,Features are good. Video is totally not helpful.,False
173,Jasjeet Singh,Pixel 5,False
174,Sue Dennis,Woow woow 😍💋 💝💖❤️,False
175,Saurav Kumar Roy Saha,Nice,False
176,Daniel Platt,Please send the touch panel and navigate through screenshots and videos please check the status on the road again and I will send you a very good morning please see that you send the movie and videos please check attached snapshots to be on previously mentioned the touch panel and Europe and sum,False
177,anas .ettaoudi,hUh,False
178,Victor Oscco Lima,10,False
179,cocker dunn,but even google hangouts do not support bubble..,False
180,TheNightmare13,Altas ganas de comprase un Google Pixel,False
181,Sudipto Banerjee,Now After the 11 anyone excited for Android 12 🔥,False
182,Frozin Faya Gh,Is there a way to upgrade android version. I'm on 8.0 and I want to move a step further,False
183,vikash arjun,When the duck my m31 is getting android 11?    TeLLMe....,False
184,Panya Rerksakunchai,YouTube bad black use Versions latest to every drives space store galaxy code to it hack my cloud in onedrive it writ in Google play store,False
185,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
186,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
187,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
188,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
189,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
190,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
191,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
192,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
193,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
194,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
195,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
196,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
197,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
198,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
199,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
200,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
201,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
202,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
203,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
204,Hammy Havoc,Depends on your device.,False
205,Frozin Faya Gh,@Hammy Havoc I'm on infinix Hot S3,False
206,Hammy Havoc,What's the alternative? All consumer oriented OS need some kind of smart device integration  IMO.,False
207,나라온,@Hammy Havoc If they allow the power control page customization  it will be ok. they should allow the turn off feature. Also I want SmartThings and Home Appliance which is most preferred IoT platform adopted in power control page instead of force to using weaker google home or they can make an option to do it.,False
208,Nick Ryan,He looks chinese,False
209,Jang-geum Seo,He looks like a person,False
210,karl mccoy,Android is one of the worst OS ever created  it's just a spam box and a spy in your pocket  pure trash as we never seen before,False
211,Agata Flores,Fantastic 😍💋 💝💖♥️❤️,False
212,Uday Mehta,I like how stock android is coming closer to oxygen OS. Strikes competition.,False
213,나라온,Stupid google,False
214,James Belkin,Bring back options for SMS fallback  and add e2e encryption to Messages.,False
215,kaheichan - scratch,when is it for nokia :(,False
216,June Oconnell,I'm single 😥😥😥😥😥,False
217,zc m,Android might not be perfect but Android is the most versatile and dynamic system. I really enjoy using Android but there are still room for improvement.,False
218,Matthew Person,The presenter is very handsome,False
219,chemicalsam,Just compete with iMessage already lol,False
220,Chris Donovan,How about better call quality and lower prices,False
221,Redjai Joseph,all those features exist already on one UI since almost 3 years . for samsung users there's nothing new in Android 11,False
222,Yashwanth R,First Comment 😜,False
223,The SMILE,Looks like windows mobile...,False
224,Kabeer Jadhav,First,False
225,‘Video Spidy Charges a quarter to fight crime!’,U copied Apple,False
226,Eetu13,Thirty comments.,False
227,Prayas Ray,Give away one oneplus phone,False
228,Abin George,Guys pling in the Midnight,False
229,romanyax,if heres gonna be not laggy instagram stories i will buy all google devices,False
230,mawar,anyone from malaysia? like,False
231,Ahmad Haruman,I've never had those issues before. Have you tried clearing the cache? I know if something like that happens you can fix that on Android.,False
232,Joel Justin,Stop begging,False
233,Prayas Ray,@Joel Justin then you give me,False
234,Eetu13,@Prayas Ray No he wont,False
235,Prayas Ray,@Eetu13 why?,False
236,aRUnKA,Lol  you're trolling. Ask OnePlus for OnePlus phones  not google or the android team,False
237,Eetu13,@Prayas Ray Because thats just how it is!!!,False
238,Hammy Havoc,In what way? I think you are misremembering.,False
239,TacoFingerss,Same,False
240,Yashwanth R,@TacoFingerss woah!,False
241,aRUnKA,Not true. Android 11 brings power settings  notifications  etc.And besides the main improvement with android updates is always performance  security  app optimizations  under the hood.Even if you had oneUI 3 but were running android KitKat  your apps would be much slower  and buggier. Besides  with this newer updates  android phones are becoming much easier to update —notice samsung now promising 3+ years of updates?,False
242,Redjai Joseph,@aRUnKA one ui has all these features.  bubble discussion  quick answering etc.  so for example.  for me Android 11 do not bring special features on the s20 ultra.,False
243,Hammy Havoc,@Redjai Joseph Not everybody uses a device running One UI. 🤷‍♂️ Not that difficult to understand that features becoming available from every manufacturer is a positive development.,False
244,Redjai Joseph,@Hammy Havoc i understand   but in my comment i mentioned Samsung users.,False
245,aRUnKA,??Call quality depends on your ISP.And prices depend on your device  not the OS. Are you talking about pixels specifically?,False
246,L,No need to compete. Being unique is better.,False
247,Chairzarge,Messages features competes with iMessage  it's in Android 10,False
248,Yannick Olivier Orounla,iMessage is not a priority to compete against since it's a US focused issue. The rest of the world uses WhatsApp. Google did release RCS Inn response to RCS  but we don't really use it here in the UK.,False
249,Hammy Havoc,It's better to consolidate messaging platforms via bubbles than to introduce yet another half-baked messaging platform or protocol.,False
250,the shy cute lover,ios will never be perfect. That is not the point.,False
251,Subhadip Das,Stfu,False
252,Hammy Havoc,Ask Nokia/HMD. 🤷‍♂️,False
253,obama,Damn dude you dont have to spam your comments many times,False
254,AzlanINFINITE,Shut up nobody is thats why I disliked,False
